Index,OEM,Model,Launch Announced,Launch Status,Body Dimensions,Body Weight,Body SIM,Display Type,Display Size,Display Resolution,Features Sensors,Platform OS
213,LG,B2150,2005,Discontinued,105 x 44 x 15.9 mm (4.13 x 1.73 x 0.63 in),73.0,Mini-SIM,"CSTN, 65K colors",1.6 inches,"128 x 128 pixels, 1:1 ratio (~113 ppi density)",V1,
214,LG,B2100,2005,Discontinued,103 x 43 x 16 mm (4.06 x 1.69 x 0.63 in),73.0,Mini-SIM,"CSTN, 65K colors",1.5 inches,"128 x 128 pixels, 1:1 ratio (~121 ppi density)",V1,
215,LG,B2000,2005,Discontinued,104 x 43 x 15.9 mm (4.09 x 1.69 x 0.63 in),73.0,Mini-SIM,"CSTN, 65K colors",1.5 inches,"128 x 128 pixels, 1:1 ratio (~121 ppi density)",V1,
216,LG,F2400,2005,Discontinued,86 x 44 x 23 mm (3.39 x 1.73 x 0.91 in),85.0,Mini-SIM,"TFT, 65K colors", ,"128 x 160 pixels, 7 lines",V1,
217,LG,F1200,2005,Discontinued,95 x 49 x 24 mm (3.74 x 1.93 x 0.94 in),101.0,Mini-SIM,"TFT, 256K colors", ,"128 x 160 pixels, 12 lines",V1,
218,LG,F7250,2004,Discontinued,98 x 49 x 25 mm (3.86 x 1.93 x 0.98 in),115.0,Mini-SIM,"TFT, 65K colors",1.9 inches,"128 x 160 pixels, 12 lines (~108 ppi density)",V1,
219,LG,C2100,2005,Discontinued,88 x 47 x 24 mm (3.46 x 1.85 x 0.94 in),90.0,Mini-SIM,"CSTN, 65K colors", ,128 x 160 pixels,V1,
220,LG,G1800,2004,Discontinued,99 x 45 x 17 mm (3.90 x 1.77 x 0.67 in),78.0,Mini-SIM,"STN, 256K colors",1.6 inches,"128 x 128 pixels, 1:1 ratio (~113 ppi density)",V1,
221,LG,G1610,2005,Discontinued,104 x 44 x 17 mm (4.09 x 1.73 x 0.67 in),83.0,Mini-SIM,"STN, 65K colors",1.5 inches,"128 x 128 pixels, 1:1 ratio (~121 ppi density)",V1,
222,LG,G1700,2004,Discontinued,101 x 44 x 22 mm (3.98 x 1.73 x 0.87 in),80.0,Mini-SIM,"STN, 4096 colors",1.6 inches,"128 x 128 pixels, 1:1 ratio (~113 ppi density)",V1,
223,LG,F2300,2005,Discontinued,88 x 46 x 24 mm (3.46 x 1.81 x 0.94 in),91.0,Mini-SIM,"TFT, 65K colors", ,"128 x 160 pixels, 7 lines",V1,
224,LG,F2100,2004,Discontinued,90 x 47 x 23 mm (3.54 x 1.85 x 0.91 in),90.0,Mini-SIM,"TFT, 256K colors", ,"128 x 160 pixels, 7 lines",V1,
225,LG,L3100,2004,Discontinued,105 x 44 x 18 mm (4.13 x 1.73 x 0.71 in),87.0,Mini-SIM,"TFT, 65K colors", ,128 x 160 pixels,V1,
226,LG,C1200,2004,Discontinued,82 x 45 x 22 mm (3.23 x 1.77 x 0.87 in),81.0,Mini-SIM,"STN, 65K colors", ,128 x 160 pixels,V1,
227,LG,G1600,2004,Discontinued,104 x 44 x 17 mm (4.09 x 1.73 x 0.67 in),83.0,Mini-SIM,"STN, 65K colors", ,"128 x 128 pixels, 8 lines, 1:1 ratio",V1,
228,LG,G7200,2004,Discontinued,93 x 49 x 26.5 mm (3.66 x 1.93 x 1.04 in),116.0,Mini-SIM,"TFT, 256K colors", ,176 x 220 pixels,V1,
229,LG,U8150,2003,Discontinued,99 x 50 x 24 mm (3.90 x 1.97 x 0.94 in),136.0,Mini-SIM,"TFT, 256K colors", ,"176 x 220 pixels, 7 lines",V1,
230,LG,G7070,2003,Discontinued,99 x 46 x 22 mm (3.90 x 1.81 x 0.87 in),95.0,Mini-SIM,"UFB, 65K colors", ,"128 x 160 pixels, 7 lines",V1,
231,LG,G7050,2003,Discontinued,94 x 44 x 21 mm (3.70 x 1.73 x 0.83 in),89.0,Mini-SIM,"STN, 65K colors", ,"128 x 160 pixels, 6 lines",V1,
232,LG,G1500,2004,Discontinued,105 x 44 x 21 mm (4.13 x 1.73 x 0.83 in),80.0,Mini-SIM,Grayscale graphic, ,"128 x 64 pixels, 2 lines, 18:9 ratio",V1,
233,LG,G5310,2003,Discontinued,106 x 42 x 22 mm (4.17 x 1.65 x 0.87 in),85.0,Mini-SIM,"UFB, 65K colors", ,"128 x 160 pixels, 7 lines",V1,
234,LG,W7020,2002,Discontinued,88 x 45 x 22 mm (3.46 x 1.77 x 0.87 in),89.0,Mini-SIM,"STN, 65K colors", ,"128 x 160 pixels, 10 lines",V1,
235,LG,W5200,2002,Discontinued,84 x 45 x 20 mm (3.31 x 1.77 x 0.79 in),80.0,Mini-SIM,"Grayscale graphic, 4 shades", ,"128 x 128 pixels, 1:1 ratio",V1,
236,LG,LG-600,2002,Discontinued,80 x 44 x 24 mm (3.15 x 1.73 x 0.94 in),90.0,Mini-SIM,Monochrome graphic, ,128 x 90 pixels,V1,
237,LG,LG-500,2002,Discontinued,109 x 46 x 20 mm (4.29 x 1.81 x 0.79 in),90.0,Mini-SIM,Monochrome graphic, ,128 x 90 pixels,V1,
238,LG,LG-200,,Discontinued,106 x 45 x 20 mm (4.17 x 1.77 x 0.79 in),80.0,Mini-SIM,Monochrome graphic, ,"128 x 64 pixels, 18:9 ratio",V1,
239,Maxon,MX-C90,2003,Discontinued,83 x 47 x 23 mm (3.27 x 1.85 x 0.91 in),82.0,Mini-SIM,"TFT, 65K colors", ,"128 x 128 pixels, 1:1 ratio",V1,
240,Maxon,MX-C80,2003,Discontinued,84 x 43.7 x 20.8 mm (3.31 x 1.72 x 0.82 in),85.0,Mini-SIM,"TFT, 65K colors", ,128 x 160 pixels,V1,
241,Maxon,MX-C180,2003,Discontinued,84 x 43.7 x 20.8 mm (3.31 x 1.72 x 0.82 in),85.0,Mini-SIM,"TFT, 65K colors", ,128 x 160 pixels,V1,
242,Maxon,MX-A30,2004,Discontinued,90 x 48.5 x 22.4 mm (3.54 x 1.91 x 0.88 in),90.0,Mini-SIM,"TFT, 65K colors", ,128 x 160 pixels,V1,
243,Maxon,MX-C60,2003,Discontinued,80 x 45 x 22.9 mm (3.15 x 1.77 x 0.90 in),85.0,Mini-SIM,"CSTN, 65K colors", ,"128 x 128 pixels, 8 lines, 1:1 ratio",V1,
244,Maxon,MX-C20,2003,Discontinued,91 x 46 x 23 mm (3.58 x 1.81 x 0.91 in),90.0,Mini-SIM,"CSTN, 65K colors", ,"128 x 160 pixels, 7 lines",V1,
245,Maxon,MX-C110,2004,Discontinued,86 x 46 x 21 mm (3.39 x 1.81 x 0.83 in),85.0,Mini-SIM,65K colors, ,-,V1,
246,Maxon,MX-E10,2003,Discontinued,91 x 48 x 22.6 mm (3.58 x 1.89 x 0.89 in),90.0,Mini-SIM,"TFT, 65K colors", ,"176 x 220 pixels, 10 lines",V1,
247,Maxon,MX-V10,2004,Discontinued,78 x 37 x 20.5 mm (3.07 x 1.46 x 0.81 in),67.0,Mini-SIM,"STN, 65K colors", ,"128 x 128 pixels, 1:1 ratio",V1,
248,Maxon,MX-V30,2004,Discontinued,81 x 43 x 21 mm (3.19 x 1.69 x 0.83 in),80.0,Mini-SIM,"TFT, 65K colors", ,-,V1,
249,Maxon,MX-7990,2003,Discontinued,78 x 37 x 20.5 mm (3.07 x 1.46 x 0.81 in),67.0,Mini-SIM,65K colors, ,"128 x 128 pixels, 8 lines, 1:1 ratio",V1,
250,Maxon,MX-E80,2004,Cancelled,,,Mini-SIM,65K colors, ,-,V1,
251,Maxon,MX-7750,2004,Discontinued,85 x 45 x 21 mm (3.35 x 1.77 x 0.83 in),81.0,Mini-SIM,65K colors, ,-,V1,
252,Maxon,MX-C11,2004,Discontinued,85 x 45 x 21 mm (3.35 x 1.77 x 0.83 in),81.0,Mini-SIM,65K colors, ,"128 x 128 pixels, 1:1 ratio",V1,
253,Maxon,MX-C160,2004,Discontinued,65 x 37 x 22 mm (2.56 x 1.46 x 0.87 in),59.0,Mini-SIM,4096 colors, ,-,V1,
254,Maxon,MX-7940,2003,Discontinued,80 x 45 x 24 mm (3.15 x 1.77 x 0.94 in),85.0,Mini-SIM,"UFB, 65K colors", ,"128 x 128 pixels, 8 lines, 1:1 ratio",V1,
255,Maxon,MX-7920,2003,Discontinued,64.9 x 37 x 22.1 mm (2.56 x 1.46 x 0.87 in),59.0,Mini-SIM,"Grayscale graphic, 4 shades", ,"128 x 128 pixels, 7 lines, 1:1 ratio",V1,
256,Maxon,MX-7830,2003,Discontinued,113 x 47 x 19 mm (4.45 x 1.85 x 0.75 in),95.0,Mini-SIM,65K colors, ,"128 x 160 pixels, 11 lines",V1,
257,Maxon,MX-7600,2003,Discontinued,85 x 46 x 21 mm (3.35 x 1.81 x 0.83 in),80.0,Mini-SIM,"TFT, 65K colors", ,"128 x 160 pixels, 6 lines",V1,
258,Maxon,MX-6879,2000,Discontinued,110 x 43 x 22 mm (4.33 x 1.69 x 0.87 in),135.0,Mini-SIM,Monochrome graphic, ,4 x 12 chars,V1,
259,Maxon,MX-6869,2000,Discontinued,110 x 43 x 20 mm (4.33 x 1.69 x 0.79 in),135.0,Mini-SIM,Monochrome graphic, ,4 x 12 chars,V1,
260,Maxon,MX-6815,1999,Discontinued,110 x 46 x 23 mm (4.33 x 1.81 x 0.91 in),96.0,Mini-SIM,Monochrome graphic, ,4 x 12 chars,V1,
261,Maxon,MX-6814,1999,Discontinued,110 x 46 x 23 mm (4.33 x 1.81 x 0.91 in),96.0,Mini-SIM,Monochrome graphic, ,4 x 12 chars,V1,
262,Meizu,17 Pro,2020,2020,160 x 77.2 x 8.5 mm (6.30 x 3.04 x 0.33 in),219.0,"Dual SIM (Nano-SIM, dual stand-by)","Super AMOLED capacitive touchscreen, 16M colors",6.6 inches,"1080 x 2340 pixels, 19.5:9 ratio (~390 ppi density)","Fingerprint (under display, optical), accelerometer, gyro, proximity, compass",Android 10
263,Meizu,17,2020,2020,160 x 77.2 x 8.5 mm (6.30 x 3.04 x 0.33 in),199.0,"Dual SIM (Nano-SIM, dual stand-by)","Super AMOLED capacitive touchscreen, 16M colors",6.6 inches,"1080 x 2340 pixels, 19.5:9 ratio (~390 ppi density)","Fingerprint (under display, optical), accelerometer, gyro, proximity, compass",Android 10
264,Meizu,16T,2019,2019,159.6 x 78.2 x 8.3 mm (6.28 x 3.08 x 0.33 in),183.0,"Dual SIM (Nano-SIM, dual stand-by)","Super AMOLED capacitive touchscreen, 16M colors",6.5 inches,"1080 x 2232 pixels, 18.5:9 ratio (~382 ppi density)","Fingerprint (under display, optical), accelerometer, gyro, proximity, compass",Android 9.0 (Pie)
265,Meizu,M10,2019,2019,164.9 x 76.3 x 8.5 mm (6.49 x 3.00 x 0.33 in),184.0,"Dual SIM (Nano-SIM, dual stand-by)","IPS LCD capacitive touchscreen, 16M colors",6.5 inches,"720 x 1600 pixels, 20:9 ratio (~270 ppi density)","Fingerprint (rear-mounted), accelerometer, proximity, compass",Android 9.0 (Pie)
266,Meizu,16s Pro,2019,2019,151.9 x 73.4 x 7.7 mm (5.98 x 2.89 x 0.30 in),166.0,"Dual SIM (Nano-SIM, dual stand-by)","Super AMOLED capacitive touchscreen, 16M colors",6.2 inches,"1080 x 2232 pixels, 18.5:9 ratio (~403 ppi density)","Fingerprint (under display, optical), accelerometer, gyro, proximity, compass",Android 9.0 (Pie)
267,Meizu,16Xs,2019,2019,152 x 74.4 x 8.3 mm (5.98 x 2.93 x 0.33 in),165.0,"Dual SIM (Nano-SIM, dual stand-by)","Super AMOLED capacitive touchscreen, 16M colors",6.2 inches,"1080 x 2232 pixels, 18.5:9 ratio (~403 ppi density)","Fingerprint (under display, optical), accelerometer, gyro, proximity, compass",Android 9.0 (Pie)
268,Meizu,16s,2019,2019,151.9 x 73.4 x 7.6 mm (5.98 x 2.89 x 0.30 in),165.0,"Dual SIM (Nano-SIM, dual stand-by)","AMOLED capacitive touchscreen, 16M colors",6.2 inches,"1080 x 2232 pixels, 18.5:9 ratio (~400 ppi density)","Fingerprint (under display, optical), accelerometer, gyro, proximity, compass",Android 9.0 (Pie)
269,Micromax,A36 Bolt,2014,Discontinued,,,Dual SIM (Mini-SIM),"TFT capacitive touchscreen, 65K colors",4.0 inches,"480 x 800 pixels, 5:3 ratio (~233 ppi density)",V1,Android 2.3 (Gingerbread)
270,Micromax,A28 Bolt,2014,Discontinued,116.9 x 62.5 x 12.5 mm (4.60 x 2.46 x 0.49 in),89.0,Dual SIM (Mini-SIM),"TFT capacitive touchscreen, 65K colors",3.5 inches,"320 x 480 pixels, 3:2 ratio (~165 ppi density)",V1,Android 2.3 (Gingerbread)
271,Micromax,Bolt A62,2013,Discontinued,121.7 x 67.2 x 12.2 mm (4.79 x 2.65 x 0.48 in),85.0,Dual SIM,TFT touchscreen,3.95 inches,"320 x 480 pixels, 3:2 ratio (~146 ppi density)",V1,Android 2.3.5 (Gingerbread)
272,Micromax,Bolt A35,2013,Discontinued,124 x 64 x 11.6 mm (4.88 x 2.52 x 0.46 in),89.0,Dual SIM,TFT touchscreen,4.0 inches,"480 x 800 pixels, 5:3 ratio (~233 ppi density)",V1,Android 2.3 (Gingerbread)
273,Micromax,Bolt A27,2013,Discontinued,116.2 x 62 x 13.2 mm (4.57 x 2.44 x 0.52 in),89.0,Dual SIM,TFT touchscreen,3.5 inches,"320 x 480 pixels, 3:2 ratio (~165 ppi density)",V1,Android 2.3 (Gingerbread)
274,Micromax,GC275,2010,Discontinued,107.7 x 44.4 x 14.5 mm (4.24 x 1.75 x 0.57 in),100.0,Mini-SIM,"TFT, 65K colors", ,,V1,
275,Mitac,MIO Leap G50,2008,Discontinued,98 x 58.5 x 14.2 mm (3.86 x 2.30 x 0.56 in),119.0,Mini-SIM,"TFT resistive touchscreen, 65K colors",2.8 inches,"240 x 320 pixels, 4:3 ratio (~143 ppi density)",Accelerometer,Windows Mobile 6.1 Professional
276,Mitac,MIO Leap K1,2008,Discontinued,105.1 x 53.5 x 14.5 mm (4.14 x 2.11 x 0.57 in),125.0,Mini-SIM,"TFT resistive touchscreen, 65K colors",2.6 inches,"240 x 320 pixels, 4:3 ratio (~154 ppi density)",V1,Windows Mobile 6.1 Professional
277,Mitac,MIO A701,2005,Discontinued,117 x 59 x 22 mm (4.61 x 2.32 x 0.87 in),150.0,Mini-SIM,"TFT resistive touchscreen, 65K colors",2.7 inches,"240 x 320 pixels, 4:3 ratio (~148 ppi density)",V1,Microsoft Windows Mobile 5.0 PocketPC
278,Mitac,MIO 8870,2004,Discontinued,"110 x 49 x 21 mm 110 cc (4.33 x 1.93 x 0.83 in)",120.0,Mini-SIM,"TFT, 65K colors",2.2 inches,176 x 220 pixels (~128 ppi density),V1,Microsoft Windows Mobile 2003 SE Smartphone
279,Mitac,MIO 8860,2004,Cancelled,,,Mini-SIM,"TFT, 256K colors (65K effective)",2.2 inches,176 x 220 pixels (~128 ppi density),V1,Microsoft Smartphone 2003
280,Mitsubishi,M750,2003,Discontinued,"96 x 47 x 24 mm 88 cc (3.78 x 1.85 x 0.94 in)",102.0,Mini-SIM,"TFT, 256K colors", ,128 x 160 pixels,V1,
281,Mitsubishi,M342i,2004,Discontinued,"107 x 47 x 19 mm 85 cc (4.21 x 1.85 x 0.75 in)",,Mini-SIM,"TFT, 256K colors", ,128 x 160 pixels,V1,
282,Mitsubishi,M341i/M720,2003,Discontinued,"96 x 47 x 24 mm 87 cc (3.78 x 1.85 x 0.94 in)",102.0,Mini-SIM,"TFT, 256K colors", ,"128 x 160 pixels, 10 lines",V1,
283,Mitsubishi,Trium Eclipse,2001,Discontinued,"123 x 48 x 29 mm 100 cc (4.84 x 1.89 x 1.14 in)",110.0,Mini-SIM,"CSTN, 256 colors", ,120 x 143 pixels,V1,
284,Mitsubishi,Trium Sirius,2001,Discontinued,104 x 53 x 22 mm (4.09 x 2.09 x 0.87 in),75.0,Mini-SIM,Monochrome graphic, ,5 x 13 to 25 chars,V1,
285,Mitsubishi,Trium Mondo,2000,Discontinued,139.5 x 84 x 19 mm (5.49 x 3.31 x 0.75 in),200.0,Mini-SIM,"Monochrome resistive touchscreen, 16 shades", ,"240 x 320 pixels, 4:3 ratio",V1,Microsoft Windows PocketPC
286,Motorola,One Fusion+,2020,2020,162.9 x 76.4 x 9.6 mm (6.41 x 3.01 x 0.38 in),210.0,"Single SIM (Nano-SIM) or Hybrid Dual SIM (Nano-SIM, dual stand-by)","IPS LCD capacitive touchscreen, 16M colors",6.5 inches,"1080 x 2340 pixels, 19.5:9 ratio (~396 ppi density)","Fingerprint (rear-mounted), accelerometer, gyro, proximity",Android 10
287,Motorola,Moto G Fast,2020,2020,161.9 x 75.7 x 9.1 mm (6.37 x 2.98 x 0.36 in),189.4,"Hybrid Dual SIM (Nano-SIM, dual stand-by)","IPS LCD capacitive touchscreen, 16M colors",6.4 inches,"720 x 1560 pixels, 19.5:9 ratio (~268 ppi density)","Fingerprint (rear-mounted), accelerometer, gyro, proximity",Android 10
288,Motorola,Moto E (2020),2020,2020,159.8 x 76.6 x 8.7 mm (6.29 x 3.02 x 0.34 in),185.0,Nano-SIM,"IPS LCD capacitive touchscreen, 16M colors",6.2 inches,"720 x 1520 pixels, 19:9 ratio (~271 ppi density)","Fingerprint (rear-mounted), accelerometer, proximity, compass",Android 10
289,Motorola,Moto G Pro,2020,2020,158.6 x 75.8 x 9.2 mm (6.24 x 2.98 x 0.36 in),192.0,"Dual SIM (Nano-SIM, dual stand-by)","IPS LCD capacitive touchscreen, 16M colors",6.4 inches,1080 x 2300 pixels (~399 ppi density),"Fingerprint (rear-mounted), accelerometer, gyro, proximity",Android 10
290,Motorola,Edge+,2020,2020,161.1 x 71.4 x 9.6 mm (6.34 x 2.81 x 0.38 in),203.0,Nano-SIM,"OLED capacitive touchscreen, 1B colors",6.7 inches,"1080 x 2340 pixels, 19.5:9 ratio (~385 ppi density)","Fingerprint (under display, optical), accelerometer, gyro, proximity, compass, barometer",Android 10
291,Motorola,Moto G8 Power Lite,2020,2020,164.9 x 75.8 x 9.2 mm (6.49 x 2.98 x 0.36 in),200.0,"Single SIM (Nano-SIM) or Dual SIM (Nano-SIM, dual stand-by)","IPS LCD capacitive touchscreen, 16M colors",6.5 inches,"720 x 1600 pixels, 20:9 ratio (~269 ppi density)","Fingerprint (rear-mounted), accelerometer, gyro, proximity",Android 9.0 (Pie)
292,Motorola,Moto E6s (2020),2020,2020,155.6 x 73 x 8.5 mm (6.13 x 2.87 x 0.33 in),160.0,"Single SIM (Nano-SIM) or Dual SIM (Nano-SIM, dual stand-by)","IPS LCD capacitive touchscreen, 16M colors",6.1 inches,"720 x 1560 pixels, 19.5:9 ratio (~282 ppi density)","Fingerprint (rear-mounted), accelerometer, proximity",Android 9.0 (Pie)
293,Motorola,Moto G8,2020,2020,161.3 x 75.8 x 9 mm (6.35 x 2.98 x 0.35 in),188.3,"Hybrid Dual SIM (Nano-SIM, dual stand-by)","IPS LCD capacitive touchscreen, 16M colors",6.4 inches,"720 x 1560 pixels, 19.5:9 ratio (~268 ppi density)","Fingerprint (rear-mounted), accelerometer, gyro, proximity",Android 10
294,Motorola,Moto G Stylus,2020,2020,158.6 x 75.8 x 9.2 mm (6.24 x 2.98 x 0.36 in),192.0,Nano-SIM,"IPS LCD capacitive touchscreen, 16M colors",6.4 inches,1080 x 2300 pixels (~399 ppi density),"Fingerprint (rear-mounted), accelerometer, gyro, proximity",Android 10
295,Motorola,Moto G Power,2020,2020,159.9 x 75.8 x 9.6 mm (6.30 x 2.98 x 0.38 in),199.0,Nano-SIM,"IPS LCD capacitive touchscreen, 16M colors",6.4 inches,1080 x 2300 pixels (~399 ppi density),"Fingerprint (rear-mounted), accelerometer, gyro, proximity",Android 10
296,Motorola,Moto G8 Power,2020,2020,156 x 75.8 x 9.6 mm (6.14 x 2.98 x 0.38 in),197.0,"Hybrid Dual SIM (Nano-SIM, dual stand-by)","IPS LCD capacitive touchscreen, 16M colors",6.4 inches,1080 x 2300 pixels (~399 ppi density),"Fingerprint (rear-mounted), accelerometer, gyro, proximity",Android 10
297,Motorola,One Hyper,2019,2020,161.8 x 76.6 x 8.9 mm (6.37 x 3.02 x 0.35 in),210.0,"Single SIM (Nano-SIM) or Hybrid Dual SIM (Nano-SIM, dual stand-by)","IPS LCD capacitive touchscreen, 16M colors",6.5 inches,"1080 x 2340 pixels, 19.5:9 ratio (~396 ppi density)","Fingerprint (rear-mounted), accelerometer, gyro, proximity, compass",Android 10
298,Motorola,Razr 2019,2019,2020,Unfolded: 172 x 72 x 6.9 mmFolded: 94 x 72 x 14mm,205.0,eSIM,"Foldable P-OLED capacitive touchscreen, 16M colors",6.2 inches,876 x 2142 pixels (~373 ppi density),"Fingerprint (front-mounted), accelerometer, gyro, proximity, compass",Android 9.0 (Pie)
299,Motorola,Moto G8 Play,2019,2019,157.6 x 75.4 x 9 mm (6.20 x 2.97 x 0.35 in),183.6,"Hybrid Dual SIM (Nano-SIM, dual stand-by)","IPS LCD capacitive touchscreen, 16M colors",6.2 inches,"720 x 1520 pixels, 19:9 ratio (~271 ppi density)","Fingerprint (rear-mounted), accelerometer, gyro, proximity",Android 9.0 (Pie)
300,Motorola,Moto E6 Play,2019,2019,146.5 x 70.9 x 8.3 mm (5.77 x 2.79 x 0.33 in),140.0,"Dual SIM (Nano-SIM, dual stand-by)","IPS LCD capacitive touchscreen, 16M colors",5.5 inches,"720 x 1440 pixels, 18:9 ratio (~295 ppi density)","Fingerprint (rear-mounted), accelerometer, proximity",Android 9.0 (Pie)
301,Motorola,Moto G8 Plus,2019,2019,158.4 x 75.8 x 9.1 mm (6.24 x 2.98 x 0.36 in),188.0,"Single SIM (Nano-SIM) or Hybrid Dual SIM (Nano-SIM, dual stand-by)","LTPS IPS LCD capacitive touchscreen, 16M colors",6.3 inches,"1080 x 2280 pixels, 19:9 ratio (~400 ppi density)","Fingerprint (rear-mounted), accelerometer, gyro, proximity, compass",Android 9.0 (Pie)
302,Motorola,One Macro,2019,2019,157.6 x 75.4 x 9 mm (6.20 x 2.97 x 0.35 in),186.0,"Hybrid Dual SIM (Nano-SIM, dual stand-by)","IPS LCD capacitive touchscreen, 16M colors",6.2 inches,"720 x 1520 pixels, 19:9 ratio (~270 ppi density)","Fingerprint (rear-mounted), accelerometer, gyro, proximity",Android 9.0 (Pie)
303,Motorola,Moto E6 Plus,2019,2019,155.6 x 73.1 x 8.6 mm (6.13 x 2.88 x 0.34 in),149.7,"Dual SIM (Nano-SIM/Micro-SIM, dual stand-by)","IPS LCD capacitive touchscreen, 16M colors",6.1 inches,"720 x 1560 pixels, 19.5:9 ratio (~282 ppi density)","Fingerprint (rear-mounted), accelerometer, proximity",Android 9.0 (Pie)
304,Motorola,One Zoom,2019,2019,158 x 75 x 8.8 mm (6.22 x 2.95 x 0.35 in),190.0,"Single SIM (Nano-SIM) or Hybrid Dual SIM (Nano-SIM, dual stand-by)","Super AMOLED capacitive touchscreen, 16M colors",6.39 inches,"1080 x 2340 pixels, 19.5:9 ratio (~403 ppi density)","Fingerprint (under display, optical), accelerometer, gyro, proximity, compass",Android 9.0 (Pie)
305,Motorola,One Action,2019,2019,160.1 x 71.2 x 9.2 mm (6.30 x 2.80 x 0.36 in),176.0,"Single SIM (Nano-SIM) or Hybrid Dual SIM (Nano-SIM, dual stand-by)","LTPS IPS LCD capacitive touchscreen, 16M colors",6.3 inches,"1080 x 2520 pixels, 21:9 ratio (~432 ppi density)","Fingerprint (rear-mounted), accelerometer, gyro, proximity, compass",Android 9.0 (Pie)
306,Motorola,Moto E6,2019,2019,149.7 x 72.3 x 8.6 mm (5.89 x 2.85 x 0.34 in),159.0,"Single SIM (Nano-SIM) or Dual SIM (Nano-SIM, dual stand-by)","IPS LCD capacitive touchscreen, 16M colors",5.5 inches,"720 x 1440 pixels, 18:9 ratio (~296 ppi density)","Fingerprint (rear-mounted), accelerometer, proximity, compass",Android 9.0 (Pie)
307,Motorola,Moto Z4,2019,2019,158 x 75 x 7.4 mm (6.22 x 2.95 x 0.29 in),165.0,"Single SIM (Nano-SIM) or Hybrid Dual SIM (Nano-SIM, dual stand-by)","OLED capacitive touchscreen, 16M colors",6.4 inches,"1080 x 2340 pixels, 19.5:9 ratio (~403 ppi density)","Fingerprint (under display, optical), accelerometer, gyro, proximity, compass",Android 9.0 (Pie)
308,Motorola,One Vision,2019,2019,160.1 x 71.2 x 8.7 mm (6.30 x 2.80 x 0.34 in),180.0,"Single SIM (Nano-SIM) or Hybrid Dual SIM (Nano-SIM, dual stand-by)","LTPS IPS LCD capacitive touchscreen, 16M colors",6.3 inches,"1080 x 2520 pixels, 21:9 ratio (~432 ppi density)","Fingerprint (rear-mounted), accelerometer, gyro, proximity, compass",Android 9.0 (Pie)
309,Motorola,XOOM MZ604,2011,Discontinued,249.1 x 167.8 x 12.9 mm (9.81 x 6.61 x 0.51 in),730.0,,"TFT capacitive touchscreen, 16M colors",10.1 inches,"800 x 1280 pixels, 16:10 ratio (~149 ppi density)","Accelerometer, gyro, barometer, compass",Android 3.0 (Honeycomb)
310,Motorola,XOOM MZ601,2011,Discontinued,249.1 x 167.8 x 12.9 mm (9.81 x 6.61 x 0.51 in),730.0,Mini-SIM,"TFT capacitive touchscreen, 16M colors",10.1 inches,"800 x 1280 pixels, 16:10 ratio (~149 ppi density)","Accelerometer, gyro, barometer, compass",Android 3.0 (Honeycomb)
311,Motorola,QUENCH,2010,Discontinued,116.8 x 60 x 12.4 mm (4.60 x 2.36 x 0.49 in),130.0,Mini-SIM,"TFT capacitive touchscreen, 65K colors",3.1 inches,"320 x 480 pixels, 3:2 ratio (~186 ppi density)","Accelerometer, proximity, compass",Android 1.5 (Cupcake)
312,Motorola,XT701,2009,Discontinued,116 x 60.9 x 10.9 mm (4.57 x 2.40 x 0.43 in),140.0,Mini-SIM,"TFT capacitive touchscreen, 16M colors",3.7 inches,"480 x 854 pixels, 16:9 ratio (~265 ppi density)","Accelerometer, proximity, compass",Android 2.0 (Eclair)
313,Motorola,A910,2005,Discontinued,"93 x 51 x 23 mm 88 cc (3.66 x 2.01 x 0.91 in)",127.0,Mini-SIM,"TFT, 256K colors", ,"240 x 320 pixels, 4:3 ratio",V1,Linux
314,Motorola,E895,2005,Discontinued,"93 x 51 x 23 mm 88 cc (3.66 x 2.01 x 0.91 in)",127.0,Mini-SIM,"TFT, 256K colors",2.2 inches,"240 x 320 pixels, 4:3 ratio (~182 ppi density)",V1,Linux
315,Motorola,E1060,2005,Cancelled,107 x 53 x 21 mm (4.21 x 2.09 x 0.83 in),125.0,Mini-SIM,"TFT, 256K colors", ,"320 x 240 pixels, 4:3 ratio",V1,
316,Motorola,C168,2005,Discontinued,"104.4 x 46 x 14 mm 63 cc (4.11 x 1.81 x 0.55 in)",77.0,Mini-SIM,"CSTN, 4096 colors", ,"128 x 128 pixels, 1:1 ratio",V1,
317,Motorola,E680i,2005,Discontinued,"109 x 53.8 x 20.5 mm 105 cc (4.29 x 2.12 x 0.81 in)",133.0,Mini-SIM,"TFT resistive touchscreen, 65K colors",2.5 inches,"240 x 320 pixels, 4:3 ratio (~160 ppi density)",V1,Linux
318,Motorola,V560,2005,Cancelled,,,Mini-SIM,V1, ,,V1,
319,Motorola,V186,2005,Discontinued,86.5 x 44.5 x 25 mm (3.41 x 1.75 x 0.98 in),92.0,Mini-SIM,"CSTN, 65K colors", ,"128 x 128 pixels, 1:1 ratio",V1,
320,Motorola,V176,2005,Discontinued,,,Mini-SIM,"CSTN, 65K colors", ,128 x 160 pixels,V1,
321,Motorola,C980,2004,Discontinued,114 x 53 x 24.5 mm (4.49 x 2.09 x 0.96 in),139.0,Mini-SIM,"TFT, 65K colors",1.9 inches,176 x 220 pixels (~148 ppi density),V1,
